Id;Name;Latitude;Longitude;Height (m);Active
188790;Abisko Aut;68.3538;18.8164;392.303;Yes
158990;Abraur;65.9857;18.9195;368.079;No
75040;Common sense;57.0666;15.9681;115;No
99090;Almagrundet;59.1552;19.1292;25;No
178790;Alu octane;67.3094;18.9011;385;No
167710;Arjeplog A;66.0513;17.8396;430.839;Yes
97390;Arlanda;59.6557;17.9462;38;No
159880;Arvidsjaur A;65.5941;19.2642;382.45;Yes
92400;Arvika;59.6658;12.591;77;No
92410;Arvika A;59.6743;12.6354;65.758;Yes
94370;The Aspen cabin;59.6112;14.1859;130;No
84340;Ax steel;58.571;14.557;88.5;Yes
105550;Reverse;60.9238;15.1103;230;No
97260;Barkarby;59.4166;17.8833;17;No
82540;Bastorp;58.904;12.038;150;No
98040;Mountain;59.068;18.115;4.3;Yes
116650;Bjuraker;61.85;16.5833;66;No
151290;Bureau island club;64.4806;21.5787;36;No
151280;Bjurö club A;64.4799;21.5754;35.41;Yes
53650;Birch tree;55.7;13.6333;32;No
142030;Björkede;64.0432;12.9414;451;No
107040;Björklinge;60.0514;17.5667;31;No
83640;Björnegården;58.5166;13.0666;75;No
92170;Flower forest;59.2891;12.0542;110;No
92130;Blomskog A;59.2213;12.0754;169.645;Yes
161940;The shop;65.814;21.635;25.2;Yes
83170;Burgundy;58.288;13.7995;181;No
105260;Borlänge Airport;60.4294;15.5079;152;Yes
72450;Borås;57.7607;12.9468;136;Yes
127130;Brämön A;62.2198;17.739;18.13;Yes
157870;Buresjön A;65.558;17.8554;394.05;Yes
84620;Bällefors;58.5833;14.1166;90;No
94390;Daily allowance A;59.6612;14.1803;133.077;Yes
73430;Dalsjöfors;57.722;13.1238;257;No
107120;Dannemora;60.2026;17.9049;41;No
116480;Shared residence;61.7854;16.5505;88;No
116490;Delsbo A;61.8264;16.5385;70.667;Yes
105640;Domnervet;60.5;15.45;128;Nej
96120;Dunker;59.1907;16.9085;32;Nej
132590;Edevik;63.9812;12.8709;425;Ja
115230;Edsbyn;61.3784;15.8352;161;Nej
115220;Edsbyn A;61.3607;15.7144;183.648;Ja
107440;Eggegrund;60.7333;17.5666;5;Nej
74380;Eksjö I 12;57.6736;14.9764;224;Nej
97370;Enköping;59.65;17.12;24.6;Ja
96190;Eskilstuna A;59.3821;16.4526;12.577;Ja
181970;Esrange;67.8947;21.0694;330;Nej
52230;Falsterbo;55.3837;12.8167;1.541;Ja
52240;Falsterbo A;55.3837;12.8166;1.575;Ja
105370;Falun;60.6219;15.6235;160;Nej
162800;Farstugrunden Aut;65.33;22.75;1;Nej
95320;Fellingsbro-Finnåker;59.5345;15.5857;51;Nej
107140;Film A;60.2358;17.9043;33.381;Ja
107130;Films Kyrkby;60.2357;17.9072;39;Nej
125020;Finneby;62.0424;15.4655;259;Nej
118610;Finngrundets Fyrskepp;61.0666;18.6833;5;Nej
85410;Finspång;58.7104;15.8215;41;Nej
122360;Fjällnäs;62.5772;12.2223;780;Nej
96040;Floda A;59.0558;16.3944;31.337;Ja
112510;Flötningen;61.8526;12.2689;670;Nej
106100;Folkärna;60.169;16.3125;68;Nej
148050;Fredrika;64.0763;18.419;300;Nej
126300;Fränsta 2;62.5165;16.2084;110;Nej
151550;Furuögrund;64.9112;21.2263;10;Nej
84390;Fägre;58.6493;14.1265;95;Nej
160750;Fällfors;65.1089;20.7652;195;Nej
160740;Fällfors;65.1317;20.7891;195;Nej
79580;Fårö;57.8987;19.1592;8;Nej
79520;Fårösund;57.8514;19.0142;27;Nej
134460;Föllinge-Vägskälet;63.7606;14.4323;475;Nej
62550;Glommen;56.9303;12.3579;6;Nej
89240;Gotska Sandön;58.3928;19.197;12;Nej
89230;Gotska Sandön A;58.3939;19.194;15.911;Ja
108300;Grundkallen;60.5;18.8666;23;Nej
84610;Gränna;58.0333;14.4666;130;Nej
145130;Gubbhögen A;64.2172;15.5529;310.221;Ja
147570;Gunnarn;65.0074;17.7085;280;Nej
147560;Gunnarn A;65.0094;17.6993;275.491;Ja
87360;Gustaf Dalen Aut;58.5934;17.4695;25;Nej
103090;Gustavsfors;60.1508;13.8062;189.492;Ja
103100;Gustavsfors A;60.1533;13.799;187.153;Ja
144300;Gäddede;64.5037;14.1596;328;Nej
144310;Gäddede A;64.5044;14.2207;553.025;Ja
180760;Gällivare A;67.1407;20.6413;358.975;Ja
180740;Gällivare Flygplats;67.1358;20.8144;312;Nej
107400;Gävle;60.6537;17.1693;16;Nej
107420;Gävle A;60.7161;17.1607;16.125;Ja
84520;Gårdsjö A;58.8768;14.3875;210.675;Ja
71420;Göteborg A;57.7156;11.9924;3.038;Ja
72420;Göteborg-Landvetter Flygplats;57.6764;12.2919;154;Ja
74180;Hagshult;57.292;14.137;169.6;Ja
135460;Hallhåxåsen A;63.7685;15.3279;375.391;Ja
135440;Hallviken;63.73;15.5;337;Nej
62400;Halmstad;56.6749;12.9246;10;Nej
62410;Halmstad flygplats;56.6833;12.8167;31;Ja
62420;Halmstad flygplats;56.6667;12.85;4;Nej
114410;Hamra A;61.6599;14.9918;453.588;Ja
64020;Hanö;56.0133;14.8496;55;Nej
163950;Haparanda;65.8367;24.113;5;Nej
163960;Haparanda A;65.8237;24.1112;13.243;Ja
161780;Haraholmen;65.2391;21.6317;4;Nej
87150;Harstena;58.2502;17.0095;5;Nej
