Id;Name;Latitude;Longitude;Height (m);Active
105285;Borlänge Sun;60.4878;15.4297;168;Yes
147655;Gunnar Sol;64.96;17.7;278;No
71415;Gothenburg Sol;57.6879;11.9796;84.824;Yes
68545;Hoburg Sol;56.921;18.1506;36;Yes
93235;Karlstad Sol;59.3591;13.4719;46;Yes
180025;Kiruna Sol;67.8406;20.4106;424;Yes
162015;Luleå Sol;65.5436;22.1113;26;Yes
53445;Lund Sol;55.7138;13.2124;90;Yes
81525;North Coast Sun;58.892;11.0038;34.025;Yes
86655;Norrköping Sol;58.5824;16.1485;53;Yes
98735;Stockholm Sol;59.3534;18.0634;41;Yes
132165;Storlien-Visjövalen Sol;63.3017;12.124;646;Yes
99275;Swedish Hills Sol;59.4422;19.502;11.688;Yes
178985;Tarfala Sun;67.9123;18.6101;1144;Yes
140615;Umeå Sol;63.8111;20.2398;22.384;Yes
78645;Visby Sol;57.6727;18.3448;55;Yes
64565;Växjö Sol;56.9269;14.7305;182;Yes
77215;Öland's northern cape Sol;57.3673;17.0987;2;Yes
134615;Östersund Sol;63.197;14.4798;372;Yes
