Id;Name;Latitude;Longitude;Height (m);Active
157010;Perch mountain;65.4833;16.6;550;No
62570;Image;56.9512;12.7909;145;No
188800;Abisko;68.3538;18.8166;393.38;No
188790;Abisko Aut;68.3555;18.8211;388;No
158990;Abraur;65.9857;18.9195;368.079;Yes
158820;Adak;65.3531;18.5839;408;Yes
97280;Adelsö A;59.3579;17.5213;5.612;Yes
92480;Adolfsfors;59.8;12.2333;125;No
117330;Ago;61.55;17.4666;20;No
178740;Watch out;67.1498;18.3061;530;No
72560;Alingsås D;57.8939;12.5472;72.054;Yes
180790;Allavaara;67.2594;20.1205;480;No
75040;Common sense;57.0666;15.9681;115;No
99090;Almagrundet A;59.1547;19.1298;3;No
134590;Almdalen;63.9967;14.6701;615;Yes
98560;commoner;59.9334;18.0446;18.689;No
53640;Alnarp;55.65;13.0833;10;No
53390;Alnarp Fruit department;55.6571;13.0923;10;No
93720;Alstrum;59.4833;13.6;70;No
178790;Alu octane;67.3094;18.9011;385;No
82000;Elven home;58.0067;12.1454;5;No
73250;Ambjörnarp;57.4166;13.2833;220;No
156990;Ammarnäs D;65.9621;16.2184;420;No
103220;Andersviksberg;60.3694;13.8749;420;No
74730;Aneboda 1;57.1166;14.5666;188;No
74510;Aneby;57.8232;14.8913;240;No
76410;Anchor room D;57.6784;16.193;96.501;Yes
144530;Anchor water D;64.8594;14.2562;469.816;Yes
95230;Arboga;59.3833;15.8333;50;No
167710;Arjeplog A;66.0513;17.8396;430.839;Yes
158980;Arjeplog-Myrheden D;65.9785;18.2211;450.325;Yes
97390;Arlanda;59.66;17.9208;26;No
159880;Arvidsjaur A;65.5941;19.2642;382.45;Yes
92400;Arvika;59.6658;12.591;77;No
92410;Arvika A;59.6743;12.6354;65.758;Yes
75280;Arvingetorp;57.4496;15.0344;210;No
97630;Ashes;59.6166;17.65;15;No
95100;Asker D;59.1593;15.4633;37.648;Yes
84660;Askersund;58.88;14.9;100;No
75480;Askeryd;57.8055;14.9925;250;No
72620;Askim D;57.6284;11.9618;88.33;Yes
87600;Aspen D;58.9277;17.1047;26.636;Yes
137220;Aspeå;63.3994;17.4911;255.8;Yes
94370;The Aspen cabin;59.6112;14.1859;130;No
78480;Austers D;57.81;18.63;29.205;Yes
145500;Avasjö-Borgafjäll D;64.8395;15.1065;540.84;Yes
106070;Avesta;60.1413;16.1715;99.043;Yes
73270;Axelfors;57.45;13.1;150;No
105550;Reverse;60.923;15.1145;230;No
117710;The slopes;61.5666;16.3;185;No
136490;Backe D;63.8137;16.4038;214.569;Ja
63550;Bakarebo D;56.9026;13.6941;145.973;Ja
132420;Baksjönäset;63.7062;12.6526;425;Nej
166840;Ballastviken;66.49;16.5346;470;Nej
139570;Balsjö D;63.9191;19.0666;201.472;Ja
62220;Baramossa;56.3823;12.9855;196.703;Ja
97260;Barkarby;59.4166;17.8833;17;Nej
