OBJECTID,cod,nombre,orden,orden2,year,Y,X,Altitude,PlotRadio,TransDir,Distance_f,widthcm,depthcM,X_old,cod_name
1,"1",Bjdamm,"1","11","2008","6565513","556566","63","8","86","8","430","135","1556566",01_Bjdamm
4,"3",Korpis,"1","11","1997","6633590","623736","52","8","300","8","400","100","1623736",03_Korpis
7,"4",Fröjered,"1","11","2002","6454444","441578","148","6","255","8","250","75","441578",04_Fröjered
10,"5",SträRed,"1","11","1986","6404228","420524","315","6","178","8","150","100","420524",05_SträRed
13,"6",Risabo,"1","11","1982","6392297","478869","274","8","350","8","180","75","478869",06_Risabo
16,"7",Rothult,"1","11","1989","6409552","528277","182","7","240","8","350","80","528277",07_Rothult
19,"8",Ydreham,"1","11","1991","6402295","532951","164","8","295","8","220","60","532951",08_Ydreham
22,"9",Gröngöl,"1","11","1985","6308811","531393","240","8","235","8","300","70","531393",09_Gröngöl
25,"10",Hällehult,"1","11","2005","6291258","569925","41","8","110","8","200","80","569925",10_Hällehult
27,"11",Ökalix,"1","11","1996","7366940","842657","170","8","70","8","130","90","842657",11_Ökalix
30,"12",Ökalix,"1","11","1996","7367252","842559","170","8","80","8","160","94","842559",12_Ökalix
33,"13",Ökalix,"1","11","1996","7367429","842342","160","7","65","8","150","100","842342",13_Ökalix
36,"14",Höglund,"1","11","1993","7216349","760554","170","6","100","8","300","100","760554",14_Höglund
39,"15",Jörnmark,"1","11","2009","7220852","747684","290","7","300","8","130","60","747684",15_Jörnmark
