Id;Name; Latitude ; Longitude ;Height (m);Active; AirPreasureStation ;link
188790;Abisko Aut; 68.35 ; 18.82 ;392,303;Yes; 9-188790-Abisko_Aut.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/188790/period/corrected-archive/data.csv
158990;Abraur; 65.99 ; 18.92 ;368,079;No; 9-158990-Abraur.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/158990/period/corrected-archive/data.csv
75040;Allgunnen; 57.07 ; 15.97 ;115;No; 9-75040-Allgunnen.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/75040/period/corrected-archive/data.csv
99090;Almagrundet; 59.16 ; 19.13 ;25;No; 9-99090-Almagrundet.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/99090/period/corrected-archive/data.csv
178790;Aluokta; 67.31 ; 18.90 ;385;No; 9-178790-Aluokta.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/178790/period/corrected-archive/data.csv
167710;Arjeplog A; 66.05 ; 17.84 ;430,839;Yes; 9-167710-Arjeplog_A.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/167710/period/corrected-archive/data.csv
97390;Arlanda; 59.66 ; 17.95 ;38;No; 9-97390-Arlanda.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/97390/period/corrected-archive/data.csv
159880;Arvidsjaur A; 65.59 ; 19.26 ;382.45;Yes; 9-159880-Arvidsjaur_A.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/159880/period/corrected-archive/data.csv
92400;Arvika; 59.67 ; 12.59 ;77;No; 9-92400-Arvika.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/92400/period/corrected-archive/data.csv
92410;Arvika A; 59.67 ; 12.64 ;65,758;Yes; 9-92410-Arvika_A.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/92410/period/corrected-archive/data.csv
94370;Asphyttan; 59.61 ; 14.19 ;130;No; 9-94370-Asphyttan.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/94370/period/corrected-archive/data.csv
84340;Ax steel Mo; 58.57 ; 14.56 ;88.5;Yes; 9-84340-Ax_steel_Mo.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/84340/period/corrected-archive/data.csv
105550;Reverse; 60.92 ; 15.11 ;230;No; 9-105550-Reverse.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/105550/period/corrected-archive/data.csv
97260;Barkarby; 59.42 ; 17.88 ;17;No; 9-97260-Barkarby.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/97260/period/corrected-archive/data.csv
62180;Barkåkra; 56.30 ; 12.84 ;18;Yes; 9-62180-Barkåkra.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/62180/period/corrected-archive/data.csv
82540;Bastorp; 58.90 ; 12.04 ;150;No; 9-82540-Bastorp.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/82540/period/corrected-archive/data.csv
98040;Berga Mo; 59.07 ; 18.12 ;4.3;Yes; 9-98040-Berga_Mo.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/98040/period/corrected-archive/data.csv
116650;Bjuråker; 61.85 ; 16.58 ;66;No; 9-116650-Bjuråker.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/116650/period/corrected-archive/data.csv
151290;Bjuröklubb; 64.48 ; 21.58 ;36;No; 9-151290-Bjuröklubb.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/151290/period/corrected-archive/data.csv
151280;Bjuröklubb A; 64.48 ; 21.58 ;35.41;Yes; 9-151280-Bjuröklubb_A.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/151280/period/corrected-archive/data.csv
53650;Björka; 55.70 ; 13.63 ;32;No; 9-53650-Björka.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/53650/period/corrected-archive/data.csv
142030;Björkede; 64.04 ; 12.94 ;451;No; 9-142030-Björkede.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/142030/period/corrected-archive/data.csv
107040;Björklinge; 60.05 ; 17.57 ;31;No; 9-107040-Björklinge.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/107040/period/corrected-archive/data.csv
83640;Björnegården; 58.52 ; 13.07 ;75;No; 9-83640-Björnegården.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/83640/period/corrected-archive/data.csv
92170;Flower forest; 59.29 ; 12.05 ;110;No; 9-92170-Flower_forest.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/92170/period/corrected-archive/data.csv
92130;Blomskog A; 59.22 ; 12.08 ;169,645;Yes; 9-92130-Blomskog_A.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/92130/period/corrected-archive/data.csv
161940;Boden Mo; 65.81 ; 21.64 ;25.2;Yes; 9-161940-Boden_Mo.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/161940/period/corrected-archive/data.csv
83170;Borgunda; 58.29 ; 13.80 ;181;No; 9-83170-Borgunda.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/83170/period/corrected-archive/data.csv
105260;Borlänge Airport; 60.43 ; 15.51 ;152;Yes; 9-105260-Borlänge_Airport.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/105260/period/corrected-archive/data.csv
72450;Borås; 57.76 ; 12.95 ;135;Yes; 9-72450-Borås.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/72450/period/corrected-archive/data.csv
127130;Brämön A; 62.22 ; 17.74 ;18.13;Yes; 9-127130-Brämön_A.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/127130/period/corrected-archive/data.csv
157870;Buresjön A; 65.56 ; 17.86 ;394.05;Yes; 9-157870-Buresjön_A.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/157870/period/corrected-archive/data.csv
