Id;Name; Latitude ; Longitude ;Height (m);Active;PrecipStation;PrecipLink
173010;Aapua;66.87;23.5;210;No;5-173010-Aapua.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/173010/period/corrected-archive/data.csv
157010;Abborrberg;65.48;16.6;550;No;5-157010-Abborrberg.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/157010/period/corrected-archive/data.csv
154860;Abelvattnet Aut;65.53;14.97;665;No;5-154860-Abelvattnet_Aut.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/154860/period/corrected-archive/data.csv
62570;Abild;56.95;12.79;145;No;5-62570-Abild.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/62570/period/corrected-archive/data.csv
188800;Abisko;68.35;18.82;393.38;Yes;5-188800-Abisko.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/188800/period/corrected-archive/data.csv
188790;Abisko Aut;68.35;18.82;392,303;Yes;5-188790-Abisko_Aut.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/188790/period/corrected-archive/data.csv
158990;Abraur;65.99;18.92;368,079;Yes;5-158990-Abraur.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/158990/period/corrected-archive/data.csv
158820;Adak;65.35;18.58;408;Yes;5-158820-Adak.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/158820/period/corrected-archive/data.csv
76510;Adelsberg;57.87;16.07;125;No;5-76510-Adelsberg.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/76510/period/corrected-archive/data.csv
85600;Adelsnäs;58.2;15.98;97;No;5-85600-Adelsnäs.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/85600/period/corrected-archive/data.csv
97280;Adelsö A;59.36;17.52;5,612;Yes;5-97280-Adelsö_A.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/97280/period/corrected-archive/data.csv
92480;Adolfsfors;59.8;12.23;125;No;5-92480-Adolfsfors.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/92480/period/corrected-archive/data.csv
117330;Agö;61.55;17.47;20;No;5-117330-Agö.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/117330/period/corrected-archive/data.csv
178740;Acts;67.15;18.31;530;No;5-178740-Acts.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/178740/period/corrected-archive/data.csv
72560;Alingsås D;57.89;12.55;72,054;Yes;5-72560-Alingsås_D.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/72560/period/corrected-archive/data.csv
180790;Allavaara;67.26;20.12;480;No;5-180790-Allavaara.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/180790/period/corrected-archive/data.csv
75040;Allgunnen;57.07;15.97;115;No;5-75040-Allgunnen.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/75040/period/corrected-archive/data.csv
134590;Almdalen;64;14.67;615;Yes;5-134590-Almdalen.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/134590/period/corrected-archive/data.csv
98560;Almunge;59.93;18.04;18,689;No;5-98560-Almunge.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/98560/period/corrected-archive/data.csv
53640;Alnarp;55.65;13.08;10;No;5-53640-Alnarp.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/53640/period/corrected-archive/data.csv
53390;Alnarp Fruit Department;55.66;13.09;10;No;5-53390-Alnarp_Fruit_Department.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/53390/period/corrected-archive/data.csv
53750;Alnarp intermediate farm;55.66;13.05;5;No;5-53750-Alnarp_intermediate_farm.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/53750/period/corrected-archive/data.csv
93720;Alstrum;59.48;13.6;70;No;5-93720-Alstrum.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/93720/period/corrected-archive/data.csv
178790;Aluokta;67.31;18.9;385;No;5-178790-Aluokta.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/178790/period/corrected-archive/data.csv
82000;Alvhem;58.01;12.15;5;No;5-82000-Alvhem.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/82000/period/corrected-archive/data.csv
73250;Ambjörnarp;57.42;13.28;220;Nej;5-73250-Ambjörnarp.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/73250/period/corrected-archive/data.csv
156990;Ammarnäs D;65.96;16.22;420;Nej;5-156990-Ammarnäs_D.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/156990/period/corrected-archive/data.csv
103220;Andersviksberg;60.37;13.87;420;Nej;5-103220-Andersviksberg.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/103220/period/corrected-archive/data.csv
74730;Aneboda 1;57.12;14.57;188;Nej;5-74730-Aneboda_1.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/74730/period/corrected-archive/data.csv
74600;Aneboda 2;57.12;14.56;195;Nej;5-74600-Aneboda_2.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/74600/period/corrected-archive/data.csv
74510;Aneby;57.82;14.89;240;Nej;5-74510-Aneby.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/74510/period/corrected-archive/data.csv
76410;Ankarsrum D;57.68;16.19;96.501;Ja;5-76410-Ankarsrum_D.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/76410/period/corrected-archive/data.csv
144530;Ankarvattnet D;64.88;14.23;460;Ja;5-144530-Ankarvattnet_D.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/144530/period/corrected-archive/data.csv
95230;Arboga;59.38;15.83;50;Nej;5-95230-Arboga.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/95230/period/corrected-archive/data.csv
116600;Arbrå;61.48;16.38;120;Nej;5-116600-Arbrå.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/116600/period/corrected-archive/data.csv
167710;Arjeplog A;66.05;17.84;430.839;Ja;5-167710-Arjeplog_A.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/167710/period/corrected-archive/data.csv
158980;Arjeplog-Myrheden D;65.98;18.22;450.325;Ja;5-158980-Arjeplog-Myrheden_D.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/158980/period/corrected-archive/data.csv
97390;Arlanda;59.66;17.92;26;Nej;5-97390-Arlanda.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/97390/period/corrected-archive/data.csv
53770;Arlöv sockerbruk;55.63;13.07;3;Nej;5-53770-Arlöv_sockerbruk.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/53770/period/corrected-archive/data.csv
159880;Arvidsjaur A;65.59;19.26;382.45;Ja;5-159880-Arvidsjaur_A.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/159880/period/corrected-archive/data.csv
92400;Arvika;59.67;12.59;77;Nej;5-92400-Arvika.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/92400/period/corrected-archive/data.csv
92410;Arvika A;59.67;12.64;65.758;Ja;5-92410-Arvika_A.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/92410/period/corrected-archive/data.csv
92430;Arvika sanatorium;59.67;12.62;70;Nej;5-92430-Arvika_sanatorium.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/92430/period/corrected-archive/data.csv
75280;Arvingetorp;57.45;15.03;210;Nej;5-75280-Arvingetorp.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/75280/period/corrected-archive/data.csv
97630;Aske;59.62;17.65;15;Nej;5-97630-Aske.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/97630/period/corrected-archive/data.csv
95100;Asker D;59.16;15.46;37.648;Ja;5-95100-Asker_D.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/95100/period/corrected-archive/data.csv
84660;Askersund;58.88;14.9;100;Nej;5-84660-Askersund.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/84660/period/corrected-archive/data.csv
75480;Askeryd;57.81;14.99;250;Nej;5-75480-Askeryd.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/75480/period/corrected-archive/data.csv
72620;Askim D;57.63;11.96;88.33;Ja;5-72620-Askim_D.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/72620/period/corrected-archive/data.csv
52530;Asmundtorp;55.88;12.95;15;Nej;5-52530-Asmundtorp.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/52530/period/corrected-archive/data.csv
87600;Aspa D;58.93;17.1;26.636;Ja;5-87600-Aspa_D.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/87600/period/corrected-archive/data.csv
84670;Aspa bruk;58.77;14.8;95;Nej;5-84670-Aspa_bruk.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/84670/period/corrected-archive/data.csv
137220;Aspeå;63.4;17.49;255.8;Ja;5-137220-Aspeå.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/137220/period/corrected-archive/data.csv
94370;Asphyttan;59.61;14.19;130;Nej;5-94370-Asphyttan.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/94370/period/corrected-archive/data.csv
78480;Austers D;57.81;18.63;29.205;Ja;5-78480-Austers_D.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/78480/period/corrected-archive/data.csv
145500;Avasjö-Borgafjäll D;64.83;15.07;535.286;Ja;5-145500-Avasjö-Borgafjäll_D.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/145500/period/corrected-archive/data.csv
106070;Avesta;60.14;16.17;99.043;Ja;5-106070-Avesta.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/106070/period/corrected-archive/data.csv
73270;Axelfors;57.45;13.1;150;Nej;5-73270-Axelfors.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/73270/period/corrected-archive/data.csv
84340;Axstål Mo;58.57;14.56;88.5;Ja;5-84340-Axstål_Mo.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/84340/period/corrected-archive/data.csv
