Id;Name; Latitude ; Longitude ;Height_m;Active; TempMean ; TempMinStation ; TempMaxStation ; TempMeanLink ; TempMinLink ; TempMaxLink ;;
149560;Norsjö A; 64.93 ; 19.37 ;309.576;Ja; 2-149560-Norsjö_A.csv ; 19-149560-Norsjö_A.csv ; 20-Norsjö A-64.9253.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/149560/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/149560/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/149560/period/corrected-archive/data.csv;;
173960;Korpilombolo M; 66.85 ; 23.06 ;178;Nej; 2-173960-Korpilombolo_M.csv ; 19-173960-Korpilombolo_M.csv ; 20-Korpilombolo M-66.8542.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/173960/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/173960/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/173960/period/corrected-archive/data.csv;;
163920;Storöhamn; 65.73 ; 23.09 ;7;Nej; 2-163920-Storöhamn.csv ; 19-163920-Storöhamn.csv ; 20-Storöhamn-65.7306.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/163920/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/163920/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/163920/period/corrected-archive/data.csv;;
140480;Umeå Flygplats; 63.79 ; 20.29 ;14;Ja; 2-140480-Umeå_Flygplats.csv ; 19-140480-Umeå_Flygplats.csv ; 20-Umeå Flygplats-63.7947.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/140480/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/140480/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/140480/period/corrected-archive/data.csv;;
63220;Osby; 56.37 ; 13.93 ;111;Ja; 2-63220-Osby.csv ; 19-63220-Osby.csv ; 20-Osby-56.3741.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/63220/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/63220/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/63220/period/corrected-archive/data.csv;;
85220;Öjebro; 58.38 ; 15.20 ;85;No; 2-85220-Öjebro.csv ; 19-85220-Öjebro.csv ; 20-Öjebro-58.3833.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/85220/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/85220/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/85220/period/corrected-archive/data.csv;;
85250;Linköping; 58.42 ; 15.63 ;64;Nej; 2-85250-Linköping.csv ; 19-85250-Linköping.csv ; 20-Linköping-58.4166.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/85250/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/85250/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/85250/period/corrected-archive/data.csv;;
136640;Sundmo; 63.50 ; 16.70 ;200;Nej; 2-136640-Sundmo.csv ; 19-136640-Sundmo.csv ; 20-Sundmo-63.5.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/136640/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/136640/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/136640/period/corrected-archive/data.csv;;
171810;Pålkem; 66.39 ; 21.61 ;265;Nej; 2-171810-Pålkem.csv ; 19-171810-Pålkem.csv ; 20-Pålkem-66.3888.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/171810/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/171810/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/171810/period/corrected-archive/data.csv;;
113110;Tandådalen Aut; 61.18 ; 13.02 ;830;Nej; 2-113110-Tandådalen_Aut.csv ; 19-113110-Tandådalen_Aut.csv ; 20-Tandådalen Aut-61.1766.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/113110/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/113110/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/113110/period/corrected-archive/data.csv;;
154860;Abelvattnet Aut; 65.53 ; 14.97 ;665;No; 2-154860-Abelvattnet_Aut.csv ; 19-154860-Abelvattnet_Aut.csv ; 20-Abelvattnet Aut-65.53.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/154860/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/154860/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/154860/period/corrected-archive/data.csv;;
